latitude,longitude,occurrenceDate
10.4288,-84.0128,2011-01-13T23:00:00.000+0000
10.4288,-84.0128,2011-01-13T23:00:00.000+0000
10.53861,-83.5025,2011-01-25T23:00:00.000+0000
10.4288,-84.0128,2011-01-19T23:00:00.000+0000
10.68515,-84.18112,2011-01-24T23:00:00.000+0000
10.43127,-84.00413,2011-02-18T23:00:00.000+0000
10.52621,-83.62784,2011-02-05T23:00:00.000+0000
10.41562,-84.12078,2011-02-27T23:00:00.000+0000
10.41562,-84.12078,2011-02-06T23:00:00.000+0000
7.49524,-76.8528,2011-02-10T23:00:00.000+0000
7.49524,-76.8528,2011-02-12T23:00:00.000+0000
10.68636,-84.20616,2011-02-14T23:00:00.000+0000
10.4288,-84.0128,2011-03-09T23:00:00.000+0000
10.4288,-84.0128,2011-03-23T23:00:00.000+0000
10.4288,-84.0128,2011-03-04T23:00:00.000+0000
10.4288,-84.0128,2011-03-13T23:00:00.000+0000
10.4288,-84.0128,2011-03-23T23:00:00.000+0000
10.4288,-84.0128,2011-03-04T23:00:00.000+0000
10.4288,-84.0128,2011-03-23T23:00:00.000+0000
10.4288,-84.0128,2011-03-29T22:00:00.000+0000
10.40714,-83.97245,2011-03-14T23:00:00.000+0000
10.4288,-84.0128,2011-03-24T23:00:00.000+0000
10.4502,-84.0677,2011-03-22T23:00:00.000+0000
10.4502,-84.0677,2011-03-30T22:00:00.000+0000
10.4288,-84.0128,2011-03-23T23:00:00.000+0000
10.4288,-84.0128,2011-03-15T23:00:00.000+0000
10.4288,-84.0128,2011-03-02T23:00:00.000+0000
10.68636,-84.20616,2011-03-07T23:00:00.000+0000
10.4288,-84.0128,2011-03-20T23:00:00.000+0000
10.4288,-84.0128,2011-03-20T23:00:00.000+0000
10.68636,-84.20616,2011-03-12T23:00:00.000+0000
10.97431,-84.33826,2011-03-19T23:00:00.000+0000
10.46446,-84.09334,2011-03-14T23:00:00.000+0000
10.44051,-84.06877,2011-03-21T23:00:00.000+0000
10.45523,-84.00773,2011-03-12T23:00:00.000+0000
10.43244,-83.67754,2011-03-13T23:00:00.000+0000
10.4288,-84.0128,2011-03-14T23:00:00.000+0000
10.44088,-84.0061,2011-03-19T23:00:00.000+0000
10.43768,-84.00473,2011-03-19T23:00:00.000+0000
10.4288,-84.0128,2011-03-26T23:00:00.000+0000
10.68636,-84.20616,2011-03-12T23:00:00.000+0000
10.4288,-84.0128,2011-03-30T22:00:00.000+0000
10.43244,-83.67754,2011-03-12T23:00:00.000+0000
10.4288,-84.0128,2011-03-22T23:00:00.000+0000
10.4288,-84.0128,2011-03-28T22:00:00.000+0000
10.4288,-84.0128,2011-03-16T23:00:00.000+0000
10.4288,-84.0128,2011-03-21T23:00:00.000+0000
10.68515,-84.18112,2011-04-28T22:00:00.000+0000
10.4288,-84.0128,2011-04-25T22:00:00.000+0000
10.4288,-84.0128,2011-04-19T22:00:00.000+0000
10.4288,-84.0128,2011-04-22T22:00:00.000+0000
10.4288,-84.0128,2011-04-22T22:00:00.000+0000
10.43587,-84.04466,2011-04-13T22:00:00.000+0000
10.42569,-84.02618,2011-03-31T22:00:00.000+0000
10.4288,-84.0128,2011-04-23T22:00:00.000+0000
10.4288,-84.0128,2011-03-31T22:00:00.000+0000
10.68515,-84.18112,2011-04-27T22:00:00.000+0000
10.4288,-84.0128,2011-04-21T22:00:00.000+0000
10.4288,-84.0128,2011-04-22T22:00:00.000+0000
10.4288,-84.0128,2011-04-03T22:00:00.000+0000
